2018-01-09 14:51:59.246 正在初始化系统
2018-01-09 14:51:59.337 初始化OK.
2018-01-09 14:57:51.528 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:51.783 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:51.997 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:52.204 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:52.420 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:52.641 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:52.867 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:53.087 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:53.308 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:53.528 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:53.746 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:53.966 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:54.186 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:54.429 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:54.652 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:54.862 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:55.072 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:55.285 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:55.501 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:55.727 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:55.949 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:56.174 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:56.399 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:56.620 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:56.844 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:57.067 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:57.292 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:57.514 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:57.735 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:57.947 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:58.155 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:58.372 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:58.596 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:58.824 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:59.049 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:59.271 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:59.493 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:59.715 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:57:59.938 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:00.161 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:00.379 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:00.587 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:00.804 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:01.020 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:01.232 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:01.450 轮询线程错误: 未将对象引用设置到对象的实例。
2018-01-09 14:58:01.680 轮询线程错误: 未将对象引用设置到对象的实例。
